1 Zimmer in einer gemütlichen Wohnung;36 CHF pro Nacht
Charmante Wohnung in Seenähe;72 CHF pro Nacht
TouchBed | Budget Apartment;146 CHF pro Nacht
Bijou in der Stadt St. Gallen;138 CHF pro Nacht
Top Auszeit,  Ferienhaus mit Bergblick;129 CHF pro Nacht, ursprünglich 142 CHF
Eigene 2.5 Zimmer Wohnung 60 m2,  St. Gallen;105 CHF pro Nacht, ursprünglich 174 CHF
Gartenstudio in Appenzellerhaus;66 CHF pro Nacht, ursprünglich 72 CHF
4 Zimmer mit Charme an bester Lage;127 CHF pro Nacht, ursprünglich 138 CHF
TouchBed | Loft mit Loggia & Whirlpool;281 CHF pro Nacht
Studio Pfauen Appenzell;56 CHF pro Nacht
Ferien auf dem Billenberghof;149 CHF pro Nacht
Cresta;147 CHF pro Nacht, ursprünglich 169 CHF
YELLOW INN 7 nähe Uni,  Olma, Spital, FHS;113 CHF pro Nacht, ursprünglich 129 CHF
EH Apartments Merkur | Deluxe Master Suite;213 CHF pro Nacht, ursprünglich 235 CHF
Histor. grossbürgerl. Wohnhaus,  ruhige Lage;50 CHF pro Nacht
Charmante Wohnung im Zentrum von Goldach;72 CHF pro Nacht, ursprünglich 78 CHF
TouchBed | Budget Doppelzimmer;84 CHF pro Nacht
TouchBed | Superior Studio;128 CHF pro Nacht
*Ferienwohnung 2 Seesitz*;100 CHF pro Nacht, ursprünglich 108 CHF
Luftiges Studio @sunehus.ch, mit OSKAR Gästekarte;92 CHF pro Nacht, ursprünglich 110 CHF
2. Charmante Wohnung in Seenähe;68 CHF pro Nacht
Tas24 Travel and Sleep;77 CHF pro Nacht, ursprünglich 84 CHF
Modernes, hochwertiges Studio;91 CHF pro Nacht, ursprünglich 99 CHF
einfaches Zimmer;43 CHF pro Nacht, ursprünglich 47 CHF
Stilvolle 2, 5 Zimmer Wohnung;125 CHF pro Nacht
GöttiFritz - 360Grad Weitsicht mit Frühstück;187 CHF pro Nacht, ursprünglich 225 CHF
spezielle Wohnung in Goldach;75 CHF pro Nacht
Ruhige schön eingerichtete Einliegerwohnung;66 CHF pro Nacht, ursprünglich 85 CHF
Schöne Wohnung im Herzen von Herisau bis 6 Gäste;165 CHF pro Nacht, ursprünglich 180 CHF
St. Gallen ist schön;43 CHF pro Nacht, ursprünglich 47 CHF
Ganze Wohnung mitten in der Altstadt von Arbon;61 CHF pro Nacht, ursprünglich 69 CHF
Ferienhaus Sennastübli;107 CHF pro Nacht, ursprünglich 116 CHF
2-Zimmer - Studio - sehr zentral City;93 CHF pro Nacht
Genieße den Seeblick von der Dachterrasse aus;152 CHF pro Nacht, ursprünglich 174 CHF
1er Zimmer ruhig 5 Min. bis ÖV;57 CHF pro Nacht, ursprünglich 63 CHF
Wunderschöne Jugendstil-Wohnung Nähe Olma und Uni;214 CHF pro Nacht
Privatzimmer im Baudenkmal,  zentral gelegen;51 CHF pro Nacht
Bungalow mit Traumaussicht LOMA BUENA VISTA;99 CHF pro Nacht, ursprünglich 110 CHF
Zimmer mit traumhaftem Ausblick;62 CHF pro Nacht, ursprünglich 74 CHF
Großzügige Wohnung in Herisau;83 CHF pro Nacht
wunderschönes studio im dorfkern von trogen;78 CHF pro Nacht, ursprünglich 85 CHF
Traumhaftes Haus nahe Bodensee;92 CHF pro Nacht, ursprünglich 112 CHF
Ferienwohnung klein aber fein;77 CHF pro Nacht
ruhiges Tiny House in der Nähe des Waldes;107 CHF pro Nacht, ursprünglich 121 CHF
3.5 Zimmerwohnung - in der Nähe des Zentrums;104 CHF pro Nacht
Schöne Einzimmerwohnung;75 CHF pro Nacht
Leimathof Attika;234 CHF pro Nacht, ursprünglich 254 CHF
Top Luxusappartement mit Terrasse und Garten, Grat;225 CHF pro Nacht
Einzigartige Lage direkt am See mit endlosem Blick;179 CHF pro Nacht, ursprünglich 196 CHF
Großes Privatzimmer in St.Gallen (in der Nähe der Seen);46 CHF pro Nacht, ursprünglich 63 CHF
Alpen-Oase | Netflix | Natur;58 CHF pro Nacht, ursprünglich 63 CHF
Ideal gelegene Wohnung;76 CHF pro Nacht, ursprünglich 83 CHF
Privatzimmer in St. Gallen Olma, Uni, HSG, FHS2;67 CHF pro Nacht
