RESTAURANT_ID;NAME;ADRESS;REVIEW_COUNT_TRIP;REVIEW_COUNT_GOOGLE;PRICE_RANGE_TRIP;CITY;PLZ;KREIS;AVERAGE_REVIEW_TRIP;AVERAGE_REVIEW_GOOGLE;WEIGHTED AVERAGE REVIEW;DATA_SOURCE;alt_Google_clean.Restaurantname;alt_Beide Quellen?;alt_Trip_Küche;alt_Google_clean.Ort;alt_Google_clean.PLZ;alt_Google_clean.Strasse;alt_Google_KÜCHE;alt_Merged_Küche;alt_Google_clean.Preis;SUM REVIEW COUNT;PRICE_NUMERIC;WEIGHTED RATING;Lage
42;Banh Mi Limmatladen;Limmatstrasse 259;8;186;€;Zürich;8005;Kreis 5;3.5;4.7;4.650515464;both;Banhmi @Limmatladen;Yes;;Zürich;8005;Limmatstrasse 259;Take Away;, Take Away;Price information not available;194;1;4.612616822;Zentrum
43;BANK;Molkenstrasse 15;218;2007;€€ - €€€;Zürich;8004;Kreis 4;3.5;4.2;4.13141573;both;Bank;Yes;Europäisch, Grillspezialitäten;Zürich;8004;Molkenstrasse 15;Grillrestaurant;Europäisch, Grillspezialitäten, Grillrestaurant;Mäßig teuer;2225;3;4.132427617;Zentrum
44;Bannog Thai Take away;Wallisellerstrasse 114;9;66;€;Zürich;8152;Aglo.;4.5;4.9;4.852;both;Bannog;Yes;Thailändisch;Opfikon;8152;Wallisellerstrasse 114;Thailändisch;Thailändisch, Thailändisch;Günstig;75;1;4.724210526;Aglo.
45;Bar Rossi;Sihlhallenstrasse 3;2;241;€€€€;Zürich;8004;Kreis 4;5;4.5;4.504115226;both;Bar Rossi;Yes;Bar, Pub;Zürich;8004;Sihlhallenstrasse 3;Restaurant;Bar, Pub, Restaurant;Mäßig teuer;243;4;4.484410646;Zentrum
46;Baracca Zermatt Kloten;Kirchgasse 16;153;995;€€ - €€€;Kloten;8302;Aglo.;4.5;4.5;4.5;both;Baracca Zermatt;Yes;Europäisch, Schweizerisch, Grillspezialitäten;Kloten;8302;Kirchgasse 16;Fondue;Europäisch, Schweizerisch, Grillspezialitäten, Fondue;Teuer;1148;3;4.495633562;Aglo.
47;Barflyz;Gotthardstrasse 21;60;744;€€ - €€€;Zürich;8002;Kreis 2;4;4.5;4.462686567;both;Barfly’z;Yes;Europäisch, Bar, Pub;Zürich;8002;Gotthardstrasse 21;Cocktailbar;Europäisch, Bar, Pub, Cocktailbar;Price information not available;804;3;4.457402913;Zentrum
48;Barfüsser Sushi Bar & Lounge Zürich;Spitalgasse 3;202;568;€€ - €€€;Zürich;8001;Kreis 1;4;4.3;4.221298701;both;Barfüsser Sushi Bar & Lounge Niederdorf;Yes;Japanisch, Sushi, Meeresfrüchte;Zürich;8001;Spitalgasse 3;Sushi;Japanisch, Sushi, Meeresfrüchte, Sushi;Teuer;770;3;4.221898734;Zentrum
49;Barranco;Sihlfeldstrasse 141;123;813;€€ - €€€;Zürich;8004;Kreis 4;4;4.6;4.521153846;both;Barranco;Yes;Bar, Lateinamerikanisch, Peruanisch;Zürich;8004;Sihlfeldstrasse 141;Peruanisch;Bar, Lateinamerikanisch, Peruanisch, Peruanisch;Teuer;936;3;4.515376569;Zentrum
50;Basilico Restaurant;Riethofstrasse 40;14;26;€€ - €€€;Zürich;8152;Aglo.;3;4.3;3.845;both;Basilico;Yes;;Opfikon;8152;Riethofstrasse 40;Italienisch;, Italienisch;k. A.;40;3;3.978333333;Aglo.
51;Baurs;Talstrasse 1;69;277;€€€€;Zürich;8001;Kreis 1;4.5;4.6;4.580057803;both;Baur's;Yes;Europäisch, Französisch, Meeresfrüchte;Zürich;8001;Talstrasse 1;Restaurant;Europäisch, Französisch, Meeresfrüchte, Restaurant;k. A.;346;4;4.561748634;Zentrum
52;Bederhof;Brandschenkestrasse 177;171;592;€€ - €€€;Zürich;8002;Kreis 2;4;4.4;4.310353866;both;Bederhof;Yes;Europäisch, Schweizerisch, Mitteleuropäisch;Zürich;8002;Brandschenkestrasse 177;Schweizerisch;Europäisch, Schweizerisch, Mitteleuropäisch, Schweizerisch;Mäßig teuer;763;3;4.308684547;Zentrum
53;Bei Foued;Duebendorfstrasse 4;8;423;€€ - €€€;Zürich;8051;Kreis 12;5;4.9;4.901856148;both;Bei Fouad;Yes;Mediterran, Orientalisch, Libanesisch;Zürich;8051;Dübendorfstrasse 4;Libanesisch;Mediterran, Orientalisch, Libanesisch, Libanesisch;Price information not available;431;3;4.872727273;Zentrum
54;Bellucci Ristorante;Dörflistrasse 117;16;449;€€ - €€€;Zürich;8050;Kreis 11;4.5;4.8;4.789677419;both;Bellucci Ristorante & Bar;Yes;Europäisch;Zürich;8050;Dörflistrasse 117;Italienisch;Europäisch, Italienisch;k. A.;465;3;4.767216495;Zentrum
55;Restaurant Biergarten;Hohlstrasse 25;12;249;€;Zürich;8004;Kreis 4;4;4.2;4.190804598;both;Biergarten;Yes;Europäisch, Schweizerisch, Grillspezialitäten;Zürich;8004;Hohlstrasse 25;Biergarten;Europäisch, Schweizerisch, Grillspezialitäten, Biergarten;Günstig;261;1;4.194661922;Zentrum
56;Bierhalle Wolf;Limmatquai 132;192;822;€€ - €€€;Zürich;8001;Kreis 1;3.5;3.9;3.824260355;both;Bierhalle Wolf;Yes;Schweizerisch, Bar, Deutsch;Zürich;8001;Limmatquai 132;Brauhaus;Schweizerisch, Bar, Deutsch, Brauhaus;Mäßig teuer;1014;3;3.832398453;Zentrum
57;BIERlab;Grüngasse 7;11;264;€€ - €€€;Zürich;8004;Kreis 4;5;4.8;4.808;both;BIERlab;Yes;Pub, Gasthausbrauerei;Zürich;8004;Grüngasse 7;Brauereischänke;Pub, Gasthausbrauerei, Brauereischänke;Price information not available;275;3;4.769830508;Zentrum
58;Binz & Kunz;Räffelstrasse 17;46;921;€€ - €€€;Zürich;8045;Kreis 3;3.5;4.4;4.357187177;both;Binz & Kunz;Yes;Italienisch, Bar, Libanesisch;Zürich;8045;Räffelstrasse 17;Grillrestaurant;Italienisch, Bar, Libanesisch, Grillrestaurant;Mäßig teuer;967;3;4.35491388;Zentrum
59;Restaurant Binzgarten;Affolternstrasse 10;39;793;€€ - €€€;Zürich;8050;Kreis 11;3;3.9;3.8578125;both;Binzgarten;Yes;;Zürich;8050;Affolternstrasse 10;Schweizerisch;, Schweizerisch;Mäßig teuer;832;3;3.866901408;Zentrum
60;Bistro Albisrieden;Albisriederstrasse 358;17;145;€€ - €€€;Zürich;8047;Kreis 9;4;4.6;4.537037037;both;Bistro Albisrieden;Yes;Europäisch, Schweizerisch, Deutsch;Zürich;8047;Albisriederstrasse 358;Bistro;Europäisch, Schweizerisch, Deutsch, Bistro;Price information not available;162;3;4.504945055;Zentrum
61;Bistro Hanoi;Wallisellenstrasse 23;12;147;€€ - €€€;Dubendorf;8600;Aglo.;5;4.9;4.90754717;both;Bistro Hanoi;Yes;Asiatisch, Vietnamesisch;Dübendorf;8600;Wallisellenstrasse 23;Vietnamesisch;Asiatisch, Vietnamesisch, Vietnamesisch;k. A.;159;3;4.833519553;Aglo.
62;Bistro Riffraff;Neugasse 63;6;73;€€ - €€€;Zürich;8005;Kreis 5;5;4.6;4.630379747;both;Bistro Riffraff;Yes;Schweizerisch, Mediterran, International;Zürich;8005;Neugasse 63;Restaurant;Schweizerisch, Mediterran, International, Restaurant;Mäßig teuer;79;3;4.552525253;Zentrum
63;Bistro Valentino Pizza & Pasta;Dufourstrasse 81;15;114;€;Zürich;8008;Kreis 8;4;4.4;4.353488372;both;Bistro Valentino;Yes;Italienisch, Mediterran, Pizza;Zürich;8008;Dufourstrasse 81;Italienisch;Italienisch, Mediterran, Pizza, Italienisch;Price information not available;129;1;4.338926174;Zentrum
64;Brasserie Bits&Bites;Wallisellenstrasse 48;124;591;€€ - €€€;Zürich;8050;Kreis 11;3.5;4;3.913286713;both;Bits & Bites;Yes;Europäisch;Zürich;8050;Wallisellenstrasse 48;Brasserie;Europäisch, Brasserie;Mäßig teuer;715;3;3.922312925;Zentrum
