Name,Country,Year,Price,Rating,Rating Counter,Tastes
Asti DOCG Dolce Millesimato,Italien,2021,6.35,4.4,453,"['3.17554%', '24.5904%', '29.1144%']"
Rosé Cote des Roses AOP G. Bertrand,Frankreich,2023,7.95,3.9,42704,None
Cabernet Sauvignon Chile Los Vascos Domaines Lafite Rothschild 6x 75cl,Chile,2021,45.00,3.4,29373,"['74.7942%', '46.9643%', '4.29401%', '44.6149%']"
Rioja DOCa Gran Reserva Campo Viejo,Spanien,2016,12.95,3.9,35953,"['64.2364%', '58.8589%', '7.17106%', '60.7668%']"
Puglia IGT Susumaniello Luccarelli,Italien,2021,8.95,4.1,209,"['64.1645%', '27.926%', '42.4102%', '18.1049%']"
Ribera del Duero DO Crianza Portia,Spanien,2020,11.95,3.7,8948,None
Alsace AOP Gewürztraminer Baron de Schiele,Frankreich,2020,9.70,3.9,356,"['61.2974%', '39.0748%', '19.4544%']"
Henkell trocken Sekt sec 3x20cl,Deutschland,,7.80,3.3,9157,None
Côtes du Ventoux AOC Terres de Truffes,Frankreich,2021,7.50,3.7,2975,"['65.1899%', '47.2523%', '14.6774%', '52.5092%']"
La Côte AOC Chasselas Mont-Sur-Rolle Belcolline,Schweiz,2021,8.65,3.0,232,"['24.5614%', '13.4126%', '61.4295%']"
Cabernet Sauvignon California Founders' Estate Beringer 6x 75cl,USA,2021,49.50,3.7,39181,"['85%', '52.7225%', '13.9572%', '42.781%']"
Vaud AOC Assemblage Rouge Escargot,Schweiz,2022,8.95,3.9,250,None
Lavaux AOC Saint-Saphorin Terre Plein Domaine Bernard Bovy,Schweiz,2022,11.95,3.4,289,"['30.9438%', '7.56923%', '58.9731%']"
Rioja DOCa Crianza Cune,Spanien,2020,4.65,3.6,76741,"['56.5534%', '55.6689%', '9.40905%', '58.858%']"
Valais AOC Oeil de Perdrix Domaines des Virets,Schweiz,2023,7.95,3.8,139,None
Châteauneuf-du-Pape AOC La Petite Crau Château Saint-André,Frankreich,2022,21.95,3.8,994,"['71.1621%', '38.9754%', '7.63533%', '42.1191%']"
Valais AOC Assemblage Blanc Nez Noir Domaine Rouvinez,Schweiz,2022,14.95,3.9,403,None
Vin de Pays Suisse Assemblages Rouge Dolce Vita 6x 75cl,Schweiz,2022,35.70,3.6,2075,None
Tavel AOC Rosé Château d'Aquéria,Frankreich,2022,10.95,3.7,5350,"['56.0368%', '14.8964%', '49.5137%']"
Valais AOC Cornalin Fleur du Rhône,Schweiz,2022,10.95,3.5,942,"['42.5%', '37.8209%', '23.0896%', '55.0037%']"
Valais AOC Favi Assemblage de Cépages rouges,Schweiz,2022,14.95,3.7,1471,None
Valais AOC Dôle Étoile Dorée,Schweiz,2019,9.30,3.6,63,"['42.5%', '30%', '23.75%', '61.25%']"
Cahors AOC Château de Mercuès,Frankreich,2019,11.50,3.8,6155,"['64.4318%', '49.3793%', '2.72532%', '45.7883%']"
Weinviertel DAC Grüner Veltliner Hund Pfaffl,Österreich,2023,11.95,3.8,3652,"['26.2376%', '9.26189%', '62.3685%']"
